"Datum";"Produktion kWh"
"2026-05-01 00:00 (CEST)";"0,000"
"2026-05-01 00:15 (CEST)";"0,000"
"2026-05-01 00:30 (CEST)";"0,000"
"2026-05-01 00:45 (CEST)";"0,000"
"2026-05-01 01:00 (CEST)";"0,000"
"2026-05-01 01:15 (CEST)";"0,000"
"2026-05-01 01:30 (CEST)";"0,000"
"2026-05-01 01:45 (CEST)";"0,000"
"2026-05-01 02:00 (CEST)";"0,000"
"2026-05-01 02:15 (CEST)";"0,000"
"2026-05-01 02:30 (CEST)";"0,000"
"2026-05-01 02:45 (CEST)";"0,000"
"2026-05-01 03:00 (CEST)";"0,000"
"2026-05-01 03:15 (CEST)";"0,000"
"2026-05-01 03:30 (CEST)";"0,000"
"2026-05-01 03:45 (CEST)";"0,000"
"2026-05-01 04:00 (CEST)";"0,000"
"2026-05-01 04:15 (CEST)";"0,000"
"2026-05-01 04:30 (CEST)";"0,000"
"2026-05-01 04:45 (CEST)";"0,000"
"2026-05-01 05:00 (CEST)";"0,000"
"2026-05-01 05:15 (CEST)";"0,046"
"2026-05-01 05:30 (CEST)";"0,171"
"2026-05-01 05:45 (CEST)";"0,296"
"2026-05-01 06:00 (CEST)";"0,516"
"2026-05-01 06:15 (CEST)";"1,228"
"2026-05-01 06:30 (CEST)";"1,691"
"2026-05-01 06:45 (CEST)";"1,708"
"2026-05-01 07:00 (CEST)";"1,694"
"2026-05-01 07:15 (CEST)";"2,191"
"2026-05-01 07:30 (CEST)";"3,824"
"2026-05-01 07:45 (CEST)";"4,271"
"2026-05-01 08:00 (CEST)";"4,300"
"2026-05-01 08:15 (CEST)";"4,301"
"2026-05-01 08:30 (CEST)";"4,302"
"2026-05-01 08:45 (CEST)";"4,300"
"2026-05-01 09:00 (CEST)";"4,303"
"2026-05-01 09:15 (CEST)";"4,303"
"2026-05-01 09:30 (CEST)";"4,303"
"2026-05-01 09:45 (CEST)";"4,305"
"2026-05-01 10:00 (CEST)";"4,308"
"2026-05-01 10:15 (CEST)";"4,308"
"2026-05-01 10:30 (CEST)";"4,314"
"2026-05-01 10:45 (CEST)";"4,309"
"2026-05-01 11:00 (CEST)";"4,311"
"2026-05-01 11:15 (CEST)";"4,312"
"2026-05-01 11:30 (CEST)";"4,310"
"2026-05-01 11:45 (CEST)";"4,311"
"2026-05-01 12:00 (CEST)";"4,309"
"2026-05-01 12:15 (CEST)";"4,311"
"2026-05-01 12:30 (CEST)";"4,307"
"2026-05-01 12:45 (CEST)";"4,308"
"2026-05-01 13:00 (CEST)";"4,307"
"2026-05-01 13:15 (CEST)";"4,309"
"2026-05-01 13:30 (CEST)";"4,311"
"2026-05-01 13:45 (CEST)";"4,311"
"2026-05-01 14:00 (CEST)";"4,313"
